LSOA21CD,Childcare accessibility,Childcare accessibility (driving only),Childcare accessibility (public transport only),Childcare accessibility - good or outstanding places (overall)
E01025673,0.193179919293304,0.209046927566963,0.100139869929823,0.149213484080007
E01025674,0.279374881613965,0.301103522801044,0.127570258799695,0.144757209863721
E01025675,0.295982087736195,0.310908759455604,0.155736062622945,0.149689730156241
E01025676,0.27328064723434,0.282168956522107,0.114526580119118,0.123804527901805
E01025677,0.269232427670829,0.291973111599594,0.140670383854426,0.121436619167859
E01025678,0.227133031623316,0.236133526274959,0.137032905396546,0.205937823791712
E01025680,0.180881906585941,0.190274990665417,0.0927844103855641,0.161307727079525
E01025681,0.225544738977198,0.23646553952071,0.147318419112917,0.205783335771983
E01025682,0.166304240305751,0.186749293338285,0.0575255563465758,0.148354575318018
E01025683,0.239103942007428,0.259262296055977,0.127203619109181,0.208814046574431
E01025684,0.21584059170806,0.229586751897353,0.143453643524984,0.191715154008435
E01025685,0.29902741514184,0.315703614731413,0.146488588379056,0.227475243957481
E01025686,0.282321300570092,0.290801457134357,0.158713050287625,0.21252158875475
E01025687,0.201292908928455,0.20377685094346,0.101655393337569,0.144549294078152
E01025688,0.243595310194586,0.247991595482321,0.196526461852093,0.199974125724549
E01025689,0.286851188954005,0.298087327821876,0.256648776883841,0.233172531849953
E01025690,0.271857485729037,0.284905290094953,0.241686518776905,0.236301862540427
E01025692,0.244171101102883,0.248808564927385,0.208973342108702,0.193839768890023
E01025693,0.455018312326695,0.467569111258446,0.325125005394594,0.343416197983274
E01025695,0.287045788524841,0.303147043919047,0.17775759522091,0.255441845377136
E01025696,0.213946552040601,0.221174736783032,0.120299056253362,0.173409539416493
E01025697,0.277234963439971,0.294509040120855,0.215355592783642,0.218253059598965
E01025698,0.273095818455152,0.28319112848522,0.205212168317556,0.227526664302584
E01025699,0.392827891666559,0.426396467063361,0.366240382132979,0.259122028499046
E01025700,0.292879338757104,0.34124713024936,0.181768852726063,0.185637881165587
E01025701,0.353870731967793,0.406810058868748,0.242746278006338,0.22733600667089
E01025702,0.316518747499306,0.345506745294352,0.167697040485255,0.196367155836334
E01025703,0.354320966121424,0.345669338194467,0.356570888260584,0.240303231515831
E01025704,0.358680735280133,0.33734322359267,0.408081052713898,0.262275586262828
E01025705,0.282981292249391,0.288199485445135,0.269562862897169,0.178514496594911
E01025706,0.228185207116609,0.269946190211819,0.10960203191643,0.151331489498501
E01025707,0.258220575268389,0.268903484921574,0.186685120187872,0.207692043429662
E01025708,0.252948680736756,0.260118283679167,0.136421600763955,0.211174229603678
E01025709,0.257542571052516,0.269820234176075,0.176057183684592,0.205348905766896
E01025710,0.245562024024695,0.25452093603234,0.152488169923885,0.195749215410099
E01025711,0.240547377859095,0.2567466859455,0.110368664573162,0.182086311786713
E01025712,0.204720193803393,0.216715587053109,0.113937108378519,0.156461174474503
E01025713,0.299722189384178,0.310093738658613,0.161764148765469,0.221112119044255
E01025715,0.315213477434174,0.363380539348452,0.162573868042485,0.209840209979149
E01025716,0.260803871885852,0.300992200349597,0.0994567969611749,0.185515531219041
E01025718,0.386663240433916,0.409437696156381,0.327342357632551,0.265014326913414
E01025719,0.334091409734629,0.357288235490787,0.178223160239805,0.233469364996043
E01025720,0.369540728970917,0.380005140635219,0.339498142520604,0.272229170695999
E01025721,0.317833767611284,0.318584430423864,0.314068993719352,0.23532813678029
E01025722,0.304773477937788,0.305384232743901,0.30624564819812,0.227549220314612
E01025723,0.314605489597194,0.310054612198335,0.334981949133308,0.234905662184507
E01025724,0.380584623653226,0.361539707293895,0.422725844080641,0.27891621924914
E01025725,0.316482027729354,0.325015720699128,0.29716746046182,0.243160113366656
E01025726,0.310755689494352,0.321371979986401,0.16270615381782,0.203577145386493
E01025727,0.285743304367515,0.316214439078289,0.164252539344334,0.186233102003296
E01025728,0.262183410065652,0.279046566368922,0.105694218645133,0.181442014248256
E01025729,0.242577005378109,0.259401236473112,0.0410650996805497,0.17311339136621
E01025730,0.228236950379615,0.240310003170767,0.0870432711664569,0.159798312928666
E01025731,0.33520350563972,0.35185426232539,0.192243307467128,0.248579790713268
E01025732,0.388478583842188,0.403442034306692,0.228971108195337,0.240415619678383
E01025733,0.357492992021805,0.37097405901087,0.249682741637975,0.216453458882118
E01025734,0.372073627299647,0.382225475391516,0.272820175479125,0.243459449152421
E01025735,0.347692419122922,0.367065221641704,0.220609644675619,0.213348332383434
E01025736,0.212135010580468,0.222694751733634,0.101620468090272,0.168910302766375
E01025737,0.322174825945639,0.334525107646853,0.16386846878522,0.226149750061131
E01025738,0.238469240565276,0.244544304846005,0.062137970980739,0.180702155616247
E01025739,0.281100490949655,0.292312299956114,0.14015137019677,0.206504696609283
E01025740,0.384889156816762,0.397581842467867,0.289300988273143,0.329312788319251
E01025741,0.346462487221328,0.354562918975451,0.265443015740181,0.300512452222841
E01025742,0.343697879183285,0.35770087129056,0.284125745832834,0.302273300617451
E01025743,0.370383461259172,0.385058857747825,0.218126786531454,0.304669945361293
E01025744,0.358169171891022,0.375011006161622,0.164868560970505,0.291643609762198
E01025745,0.393895071115458,0.424927995222932,0.183401235033728,0.316049194286798
E01025746,0.3784038372069,0.405435177632905,0.235823867443119,0.306477450847514
E01025747,0.344941367924898,0.363918080050706,0.243726763365874,0.289138137607752
E01025748,0.278594952016178,0.306039602028854,0.0940610749918404,0.174338193463313
